"path","line","component","layer","visibility","same_name_count","initial_status"
"src/app/(authenticated)/table-bookings/foh/FohScheduleClient.tsx","38","FohScheduleClient","route-local","exported","1","local"
"src/app/(authenticated)/table-bookings/foh/page.tsx","16","TableBookingsFohPage","route-entry","exported","1","route"
"src/app/(authenticated)/table-bookings/loading.tsx","3","Loading","route-entry","exported","10","route"
"src/app/(authenticated)/table-bookings/reports/page.tsx","60","TableBookingReportsPage","route-entry","exported","1","route"
"src/app/(authenticated)/users/_components/RolesContent.tsx","68","RolesContent","route-local","exported","1","local"
"src/app/(authenticated)/users/_components/UsersClient.tsx","21","UsersClient","route-local","exported","1","local"
"src/app/(authenticated)/users/_components/UsersContent.tsx","54","UsersContent","route-local","exported","1","local"
"src/app/(authenticated)/users/components/UserRolesModal.tsx","25","UserRolesModal","shared-component","exported","1","review"
"src/app/(authenticated)/users/page.tsx","8","UsersPage","route-entry","exported","1","route"
"src/app/(employee-onboarding)/layout.tsx","3","EmployeeOnboardingLayout","route-entry","exported","1","route"
"src/app/(employee-onboarding)/onboarding/[token]/_components/OnboardingClient.tsx","39","OnboardingClient","route-local","exported","1","local"
"src/app/(employee-onboarding)/onboarding/[token]/_components/OnboardingClient.tsx","60","PortalAccessSetup","route-local","internal","1","local"
"src/app/(employee-onboarding)/onboarding/[token]/_components/OnboardingClient.tsx","85","OnboardingFlow","route-local","internal","1","local"
"src/app/(employee-onboarding)/onboarding/[token]/page.tsx","10","OnboardingPage","route-entry","exported","1","route"
"src/app/(employee-onboarding)/onboarding/[token]/steps/CreateAccountStep.tsx","15","CreateAccountStep","route-local","exported","1","local"
"src/app/(employee-onboarding)/onboarding/[token]/steps/EmergencyContactsStep.tsx","33","EmergencyContactsStep","route-local","exported","1","local"
"src/app/(employee-onboarding)/onboarding/[token]/steps/FinancialStep.tsx","23","FinancialStep","route-local","exported","1","local"
"src/app/(employee-onboarding)/onboarding/[token]/steps/HealthStep.tsx","34","HealthStep","route-local","exported","1","local"
"src/app/(employee-onboarding)/onboarding/[token]/steps/PersonalStep.tsx","22","PersonalStep","route-local","exported","1","local"
"src/app/(employee-onboarding)/onboarding/[token]/steps/ReviewStep.tsx","17","ReviewStep","route-local","exported","1","local"
"src/app/(employee-onboarding)/onboarding/success/page.tsx","7","OnboardingSuccessPage","route-entry","exported","1","route"
"src/app/(event-kiosk)/events/[id]/check-in/EventCheckInClient.tsx","28","EventCheckInClient","route-local","exported","1","local"
"src/app/(event-kiosk)/events/[id]/check-in/page.tsx","23","EventCheckInPage","route-entry","exported","1","route"
"src/app/(feedback)/feedback/page.tsx","15","FeedbackLandingPage","route-entry","exported","1","route"
"src/app/(feedback)/feedback/tell-us/page.tsx","12","TellUsPage","route-entry","exported","1","route"
"src/app/(feedback)/feedback/tell-us/TellUsClient.tsx","13","TellUsClient","route-local","exported","1","local"
"src/app/(feedback)/feedback/thanks/page.tsx","7","FeedbackThanksPage","route-entry","exported","1","route"
"src/app/(staff-portal)/layout.tsx","15","StaffPortalLayout","route-entry","exported","1","route"
"src/app/(staff-portal)/portal/leave/CancelLeaveRequestButton.tsx","11","CancelLeaveRequestButton","route-local","exported","1","local"
"src/app/(staff-portal)/portal/leave/LeaveRequestForm.tsx","22","LeaveRequestForm","route-local","exported","1","local"
"src/app/(staff-portal)/portal/leave/new/page.tsx","7","NewLeaveRequestPage","route-entry","exported","1","route"
"src/app/(staff-portal)/portal/leave/page.tsx","35","MyLeavePage","route-entry","exported","1","route"
"src/app/(staff-portal)/portal/shifts/CalendarSubscribeButton.tsx","6","CalendarSubscribeButton","route-local","exported","1","local"
"src/app/(staff-portal)/portal/shifts/loading.tsx","3","Loading","route-entry","exported","10","route"
"src/app/(staff-portal)/portal/shifts/OpenShiftRequestButton.tsx","13","OpenShiftRequestButton","route-local","exported","1","local"
"src/app/(staff-portal)/portal/shifts/page.tsx","464","MyShiftsPage","route-entry","exported","1","route"
"src/app/(staff-portal)/portal/shifts/PaySummaryCard.tsx","29","PaySummaryCard","route-local","exported","1","local"
"src/app/(staff-portal)/portal/shifts/ShiftDecisionControls.tsx","28","ShiftDecisionControls","route-local","exported","1","local"
"src/app/(timeclock)/layout.tsx","7","TimeclockLayout","route-entry","exported","1","route"
"src/app/(timeclock)/timeclock/_components/TimeclockClient.tsx","29","TimeclockClient","route-local","exported","1","local"
"src/app/(timeclock)/timeclock/page.tsx","8","TimeclockPage","route-entry","exported","2","route"
"src/app/auth/layout.tsx","1","AuthLayout","route-entry","exported","1","route"
"src/app/auth/login/_components/LoginClient.tsx","42","LoginClient","route-local","exported","1","local"
"src/app/auth/login/page.tsx","7","LoginPage","route-entry","exported","1","route"
"src/app/auth/recover/page.tsx","1","RecoverPage","route-entry","exported","1","route"
"src/app/auth/reset-password/page.tsx","20","ResetPasswordForm","route-entry","internal","2","route"
"src/app/auth/reset-password/page.tsx","164","ResetPasswordPage","route-entry","exported","1","route"
"src/app/auth/reset/page.tsx","5","ResetPage","route-entry","exported","1","route"
"src/app/auth/reset/reset-password-form.tsx","18","ResetPasswordForm","route-local","exported","2","local"
"src/app/booking-portal/[token]/FreshPayPalLinkClient.tsx","11","FreshPayPalLinkClient","route-local","exported","1","local"
"src/app/booking-portal/[token]/page.tsx","59","InvalidToken","route-entry","internal","1","route"
"src/app/booking-portal/[token]/page.tsx","89","BookingNotFound","route-entry","internal","1","route"
"src/app/booking-portal/[token]/page.tsx","118","DescriptionItem","route-entry","internal","1","route"
"src/app/booking-portal/[token]/page.tsx","128","BookingPortalPage","route-entry","exported","1","route"
"src/app/booking-portal/[token]/PayPalCaptureClient.tsx","12","PayPalCaptureClient","route-local","exported","1","local"
"src/app/booking-portal/layout.tsx","7","BookingPortalLayout","route-entry","exported","1","route"
"src/app/error/_components/ErrorClient.tsx","12","ErrorClient","route-local","exported","1","local"
"src/app/error/page.tsx","43","ErrorPage","route-entry","exported","1","route"
"src/app/g/[token]/card-capture/page.tsx","1","CardCapturePage","route-entry","exported","1","route"
"src/app/g/[token]/event-payment/EventPayPalPaymentClient.tsx","16","EventPayPalPaymentClient","route-local","exported","1","local"
"src/app/g/[token]/event-payment/page.tsx","60","EventPaymentPage","route-entry","exported","1","route"
"src/app/g/[token]/manage-booking/page.tsx","120","ManageBookingPage","route-entry","exported","1","route"
"src/app/g/[token]/private-feedback/page.tsx","59","PrivateBookingFeedbackPage","route-entry","exported","1","route"
"src/app/g/[token]/sunday-preorder/page.tsx","3","SundayPreorderPage","route-entry","exported","1","route"
"src/app/g/[token]/table-manage/page.tsx","83","TableManageBookingPage","route-entry","exported","1","route"
"src/app/g/[token]/table-payment/page.tsx","37","DepositReceivedPanel","route-entry","internal","1","route"
"src/app/g/[token]/table-payment/page.tsx","67","TablePaymentPage","route-entry","exported","1","route"
"src/app/g/[token]/table-payment/TablePaymentClient.tsx","42","TablePaymentClient","route-local","exported","1","local"
"src/app/g/[token]/waitlist-offer/page.tsx","66","WaitlistOfferPage","route-entry","exported","1","route"
"src/app/global-error.tsx","5","GlobalError","route-local","exported","1","local"
"src/app/icon.tsx","11","Icon","route-local","exported","2","local"
"src/app/layout.tsx","56","RootLayout","route-entry","exported","1","route"
"src/app/m/[token]/charge-request/page.tsx","109","ChargeRequestApprovalPage","route-entry","exported","1","route"
"src/app/parking/guest/[id]/_components/PublicParkingClient.tsx","39","PublicParkingClient","route-local","exported","1","local"
"src/app/parking/guest/[id]/_components/PublicParkingClient.tsx","173","Detail","route-local","internal","1","local"
"src/app/parking/guest/[id]/page.tsx","14","ParkingGuestBookingPage","route-entry","exported","1","route"
