Vendor,Transactions,Total GBP,Transactions with receipts,Missing receipts,First date,Last date
Apify,1,285.92,1,0,2026-06-30,2026-06-30
ClaudeAI,8,1128.00,7,1,2024-08-06,2026-06-26
Cloudflare (cheersai.uk),1,3.88,1,0,2025-09-09,2025-09-09
Cursor,28,668.79,1,27,2025-03-18,2025-07-08
Google AI Ultra,6,1179.94,6,0,2025-11-24,2026-04-23
OpenAI,32,2197.72,14,18,2024-01-11,2026-06-09
Railway,1,3.81,1,0,2026-06-29,2026-06-29
Supabase,21,871.72,16,5,2025-04-29,2026-06-30
Vercel,8,155.20,8,0,2025-11-13,2026-06-12
